ISO_Code,Countries,1A Government Consumption,,1B  Transfers and subsidies,,1C  Government enterprises and investment,,1Di Top marginal income tax rate,,1Dii Top marginal income and payroll tax rate,,1D  Top marginal tax rate,1  Size of Government,2A  Judicial independence,2B  Impartial courts,2C  Protection of property rights,2D  Military interference in rule of law and politics,2E Integrity of the legal system,2F Legal enforcement of contracts,2G Regulatory restrictions on the sale of real property,2H Reliability of police,2I Business costs of crime,2  Legal System & Property Rights,3A  Money growth,,3B  Standard deviation of inflation,,3C  Inflation: Most recent year,,3D  Freedom to own foreign currency bank accounts,3  Sound Money,4Ai  Revenue from trade taxes (% of trade sector),,4Aii  Mean tariff rate,,4Aiii  Standard deviation of tariff rates,,4A  Tariffs,4Bi  Non-tariff trade barriers,4Bii  Compliance costs of importing and exporting,4B  Regulatory trade barriers,4C  Black market exchange rates,4Di  Foreign ownership/investment restrictions,4Dii  Capital controls,4Diii Freedom of foreigners to visit,4D  Controls of the movement of capital and people,4  Freedom to trade internationally,5Ai  Ownership of banks,5Aii Private sector credit,5Aiii  Interest rate controls/negative real interest rates),5A  Credit market regulations,5Bi  Hiring regulations and minimum wage,5Bii  Hiring and firing regulations,5Biii  Centralized collective bargaining,5Biv  Hours Regulations,5Bv Mandated cost of worker dismissal,5Bvi  Conscription,5B  Labor market regulations,5Ci  Administrative requirements,5Cii  Bureaucracy costs,"5Ciii  Starting
a  business",5Civ  Extra payments/bribes/favoritism,5Cv Licensing restrictions,5Cvi Tax compliance,5C  Business regulations,5  Regulation,SUMMARY INDEX,Rank,,
BGD,Bangladesh,9.7,6.9,9.6,1.9,7,24.5,9,25,9,25,9.0,8.8,2.4,3.7,3.9,4.2,3.3,0.9,3.2,2.7,4.8,3.2,8.5,7.3,9.6,1.07,8.8,6.22,0,6.7,6.3,5.6,7.1,14.4,6.4,9.1,6.6,5.6,5.9,5.7,10.0,5.5,0.0,0.0,1.8,6.0,5,8.8,10,7.9,5.6,5.8,6.3,10.0,1.4,10,6.5,3.7,6.3,9.5,2.1,7.4,6.6,5.9,6.8,6.33,119,,
BRD,Barbados,6.8,16.8,6.2,14.3,10,,7,35,3,47,5.0,7.0,7.5,5.6,6.7,9.5,,3.8,5.3,7.8,5.7,6.5,8.2,8.9,8.0,4.91,9.1,4.53,0,6.3,8.4,2.5,7.5,12.4,2.2,19.5,6.0,6.3,8.9,7.6,10.0,7.1,0.0,10.0,5.7,7.3,8,4.1,10,7.4,8.9,5.2,6.4,10.0,5.7,10,7.7,5.3,4.1,9.3,6.4,5.0,7.3,6.3,7.1,6.86,85,,
BEL,Belgium,2.4,32.0,2.3,28.7,10,8.8,2,50-55,0,67-70,1.0,3.9,7.4,5.2,7.4,10.0,8.3,5.6,4.6,7.7,7.6,7.1,9.3,3.4,9.9,0.37,9.4,2.84,10,9.6,9.6,0.6,8.9,5.5,6.1,9.7,8.2,6.7,8.9,7.8,10.0,7.1,4.6,6.6,6.1,8.0,10,8.2,10,9.4,8.9,3.0,4.6,8.0,10.0,10,7.4,2.7,1.9,9.8,7.3,7.3,8.2,6.2,7.7,7.27,53,,
BLZ,Belize,6.6,17.6,8.6,5.5,4,,9,25,,,9.0,7.1,3.4,4.8,4.7,6.8,,3.3,7.3,3.2,3.0,4.6,8.7,6.5,9.6,1.10,9.7,1.32,5,8.2,6.5,5.3,7.9,10.7,5.0,12.4,6.5,3.9,7.6,5.7,10.0,5.2,0.0,5.3,3.5,6.4,10,9.1,10,9.7,7.8,6.0,7.1,10.0,8.3,10,8.2,3.2,6.9,8.1,2.8,9.3,8.4,6.4,8.1,6.88,82,,
BEN,Benin,8.0,12.9,9.2,3.5,0,60.3,4,45,3,50,3.5,5.2,2.9,3.8,4.1,7.1,,1.1,3.9,5.7,5.3,4.2,9.9,-0.4,8.9,2.75,8.7,6.75,0,6.9,3.9,9.2,7.6,11.9,7.3,6.8,6.3,4.0,6.3,5.2,10.0,3.6,0.8,0.0,1.5,5.7,10,9.0,8,9.0,6.1,4.6,7.2,8.0,7.6,1,5.7,3.1,5.8,7.4,2.5,7.6,7.0,5.5,6.8,5.75,137,,
BOL,Bolivia,6.3,18.5,8.8,4.8,0,57.0,10,13,10,13,10.0,6.3,3.5,4.0,3.7,5.0,4.2,4.0,6.7,3.7,4.6,4.4,8.5,7.3,7.4,6.55,9.1,4.59,10,8.7,9.2,1.1,7.8,11.2,6.8,8.1,7.9,4.4,6.9,5.6,10.0,4.3,4.6,4.4,4.4,7.0,8,10.0,10,9.3,2.2,4.3,5.0,8.0,,3,4.5,4.4,6.0,7.7,2.6,6.3,0.0,4.5,6.1,6.51,108,,
BIH,Bosnia and Herzegovina,5.6,21.0,5.0,18.8,5,32.7,10,10,3,47,6.5,5.5,4.8,4.3,4.5,4.9,,3.9,7.8,7.3,8.7,5.8,9.8,-1.0,8.7,3.14,9.6,2.05,5,8.3,10.0,0.0,8.7,6.6,5.6,11.0,8.1,5.0,8.0,6.5,10.0,5.6,3.1,5.4,4.7,7.3,10,8.9,10,9.6,3.3,5.6,5.7,10.0,7.5,10,7.0,4.3,6.2,8.6,5.5,6.0,5.4,6.0,7.5,6.89,80,,
BWA,Botswana,4.0,26.4,7.2,10.9,7,21.5,9,25,9,25,9.0,6.8,7.2,5.9,6.6,8.3,5.8,3.3,8.0,5.7,6.1,6.3,9.5,2.6,5.8,10.43,8.5,7.54,10,8.5,0.9,13.6,8.5,7.6,5.6,11.1,5.0,6.1,5.7,5.9,10.0,6.4,5.4,6.8,6.2,6.8,8,10.0,10,9.3,10.0,4.1,7.1,10.0,3.8,10,7.5,4.7,5.2,8.1,6.3,9.1,8.3,6.9,7.9,7.26,54,,
BRA,Brazil,4.2,25.6,7.0,11.4,10,13.3,8,28,8,28,8.0,7.3,4.8,4.0,6.0,6.7,3.3,4.0,8.6,5.6,4.0,5.2,9.0,5.0,9.5,1.17,8.9,5.40,5,8.1,8.2,2.7,7.3,13.5,6.1,9.9,7.2,4.9,8.0,6.4,9.6,5.6,3.1,6.5,5.0,7.1,5,8.7,10,7.9,2.2,3.7,5.2,6.0,7.1,3,4.5,1.7,3.8,6.6,4.6,4.9,0.0,3.6,5.3,6.61,103,,
BRN,Brunei Darussalam,0.0,45.8,,,,,10,0,10,16,10.0,5.0,6.7,5.2,6.0,8.3,8.3,4.2,4.8,7.2,8.6,6.6,9.11,-4.5,3.7,15.82,9.9,0.46,10,8.2,,,9.5,2.5,7.8,5.5,8.7,5.5,7.6,6.6,10.0,5.9,6.2,4.1,5.4,7.7,,9.1,10,9.5,10.0,5.2,8.0,10.0,10.0,10,8.9,5.4,4.6,6.7,7.6,9.4,8.9,7.1,8.5,7.18,62,,
BGR,Bulgaria,6.0,19.5,5.4,17.3,8,15.4,10,10,7,34,8.5,7.0,2.7,3.0,4.2,8.3,4.2,4.8,8.8,4.0,4.9,5.0,9.9,0.4,8.5,3.65,9.4,2.95,10,9.5,9.6,0.6,8.9,5.5,6.1,9.7,8.2,4.6,7.4,6.0,10.0,4.7,6.9,6.6,6.1,7.6,10,9.6,10,9.9,6.7,5.0,7.2,8.0,9.3,10,7.7,3.4,5.9,9.4,4.8,8.8,4.9,6.2,7.9,7.39,40,,
BFA,Burkina Faso,5.0,23.0,10.0,0.2,2,45.1,4,45,,,4.0,5.3,1.8,3.6,4.5,4.2,5.0,2.1,4.7,5.1,4.9,4.0,8.4,8.0,9.2,2.07,9.2,3.82,0,6.7,7.1,4.4,7.6,11.9,7.3,6.8,7.3,5.4,3.7,4.6,10.0,5.6,0.8,0.0,2.1,6.0,10,7.7,8,8.6,7.8,4.8,7.0,6.0,7.9,10,7.2,4.5,6.4,8.1,3.1,8.7,7.0,6.3,7.4,5.86,135,,
BDI,Burundi,4.6,24.2,9.3,3.0,2,47.2,1,60,,,1.0,4.2,1.1,2.5,2.8,1.8,,2.7,8.5,1.8,4.6,3.2,8.7,6.7,8.1,4.87,6.4,18.01,5,7.0,1.1,13.3,7.4,12.8,5.2,11.9,4.6,3.9,4.6,4.3,10.0,3.4,0.0,0.0,1.1,5.0,5,6.2,8,6.4,10.0,4.0,6.9,6.0,7.8,10,7.4,3.2,7.6,9.7,2.5,5.2,6.9,5.8,6.6,5.21,145,,
KHM,Cambodia,8.0,13.0,9.6,2.0,2,47.6,10,20,10,20,10.0,7.4,2.9,4.2,4.4,5.9,,1.8,7.5,3.8,5.9,4.6,9.38,3.1,8.2,4.39,9.4,2.93,10,9.3,8.6,2.0,7.8,10.9,6.6,8.6,7.7,5.4,6.8,6.1,10.0,6.4,7.0,0.3,4.6,7.1,,7.6,,7.6,5.6,6.2,6.9,10.0,6.3,10,7.5,4.2,6.2,5.0,3.2,4.9,8.1,5.3,6.8,7.02,72,,
CMR,Cameroon,7.0,16.3,9.6,2.1,4,30.6,5,39,4,41,4.5,6.3,2.1,3.6,4.7,5.0,3.3,2.2,3.4,5.4,5.4,3.9,9.5,2.3,8.9,2.73,9.4,2.94,0,7.0,3.8,9.2,6.4,17.8,6.2,9.4,5.5,5.4,6.7,6.0,10.0,6.9,1.5,0.0,2.8,6.1,5,9.4,10,8.1,7.2,6.1,5.9,10.0,7.4,10,7.8,4.1,5.9,8.6,2.9,6.8,2.9,5.2,7.0,6.05,129,,
CAN,Canada,3.7,27.3,6.9,11.9,10,13.1,6,39-50,6,39-50,6.0,6.7,8.6,6.8,8.4,10.0,9.2,4.8,8.6,8.4,7.2,8.0,8.8,6.0,9.0,2.40,9.7,1.52,10,9.4,9.8,0.4,9.1,4.3,1.9,20.3,6.9,5.6,8.9,7.2,10.0,6.9,6.9,5.7,6.5,7.7,10,9.9,10,10.0,8.9,6.1,7.5,10.0,8.3,10,8.5,4.4,2.0,9.8,7.6,6.7,8.5,6.5,8.3,8.00,7,,
CPV,Cape Verde,5.5,21.1,9.4,2.8,6,27.8,7,35,3,50,5.0,6.5,5.2,4.3,4.8,8.4,,6.1,8.4,5.6,4.8,5.9,8.96,-5.2,9.7,0.66,9.5,2.54,0,7.0,7.3,4.1,8.0,10.1,4.8,12.9,6.7,4.6,7.4,6.0,10.0,5.8,3.3,1.8,3.6,6.6,,6.5,10,8.3,5.0,4.2,7.0,8.0,2.5,1,4.6,4.5,6.4,9.5,5.7,8.3,7.9,7.1,6.7,6.54,107,,
CAF,Central Afr. Rep.,9.4,8.0,9.6,2.0,4,32.1,5,39-48,,,5.0,7.0,,3.0,,1.3,,0.5,5.0,,,2.4,8.9,5.6,9.1,2.32,8.8,5.77,0,6.7,0.9,13.7,6.4,17.8,6.2,9.4,4.5,,2.9,2.9,10.0,,1.5,0.0,0.8,4.5,5,8.6,10,7.9,2.8,,,4.0,7.0,0,3.4,,,6.2,,7.3,4.6,6.0,5.8,5.29,142,,
TCD,Chad,8.7,10.5,9.9,0.8,7,28.5,1,60,1,60,1.0,6.6,1.7,2.2,2.4,3.5,,2.2,4.2,2.2,3.4,2.7,9.0,5.0,6.2,9.44,7.2,14.02,0,5.6,,,6.4,17.8,6.2,9.4,6.3,3.5,0.0,1.8,10.0,4.0,1.5,0.0,1.8,5.0,2,9.6,10,7.2,5.0,4.6,6.9,8.0,7.9,3,5.9,3.4,7.0,5.2,1.9,3.4,1.8,3.8,5.6,5.12,146,,
CHL,Chile,7.0,16.2,8.0,7.8,10,9.4,7,40,7,40,7.0,8.0,7.1,5.9,6.8,7.5,7.5,5.1,9.1,8.6,6.2,7.1,8.3,8.3,7.8,5.61,9.4,3.01,10,8.9,9.8,0.4,8.8,6.0,9.8,0.4,9.5,6.3,8.2,7.2,10.0,7.6,3.1,5.7,5.4,8.0,8,10.0,10,9.3,6.7,5.0,7.6,10.0,2.5,1,5.5,5.1,3.8,9.8,7.4,8.3,6.7,6.9,7.2,7.84,10,,
CHN,China,3.7,27.4,8.3,6.8,2,46.1,6,45,6,45,6.0,5.0,5.0,5.0,6.0,5.0,5.8,6.7,8.3,5.7,6.4,6.0,9.1,4.3,8.5,3.73,9.5,2.65,5,8.0,9.3,1.0,8.1,9.6,7.0,7.6,8.1,5.5,6.9,6.2,10.0,6.0,0.8,0.2,2.3,6.7,2,9.6,10,7.2,8.9,5.7,6.4,10.0,2.5,0,5.6,5.5,4.7,8.7,5.0,5.9,6.4,6.0,6.3,6.39,115,,
COL,Colombia,5.5,21.2,7.7,9.0,6,,7,33,3,53,5.0,6.1,3.4,3.8,4.7,3.3,3.3,2.1,9.1,5.3,2.8,4.2,9.1,4.5,9.1,2.35,9.4,3.18,5,8.1,8.8,1.8,8.2,8.8,6.9,7.8,8.0,4.5,8.2,6.4,10.0,5.8,1.5,8.1,5.1,7.4,8,10.0,10,9.3,8.9,4.6,6.8,10.0,4.8,0,5.9,3.2,4.9,9.4,3.8,9.5,7.7,6.4,7.2,6.59,104,,
COD,"Congo, Dem. R.",6.6,17.6,8.9,4.7,2,43.8,3,50,2,55,2.5,5.0,,2.6,,0.0,1.7,0.9,6.9,,,2.4,7.4,13.0,5.8,10.47,8.1,9.72,10,7.8,7.8,3.3,7.8,11.0,7.6,5.9,7.7,,2.5,2.5,10.0,,0.8,0.0,0.4,5.2,0,8.7,10,6.2,1.7,,,8.0,10.0,3,5.7,,,3.9,,6.5,6.1,5.5,5.8,5.24,144,,
COG,"Congo, Rep. Of",3.7,27.4,9.3,3.0,0,63.6,4,45,3,49,3.5,4.1,,3.6,,0.0,3.3,3.0,4.0,,,2.8,7.0,15.1,2.8,18.10,9.2,3.89,0,4.7,9.5,0.8,6.4,17.8,6.2,9.4,7.4,,2.6,2.6,10.0,,1.5,0.0,0.8,5.2,0,9.3,10,6.4,2.2,,,6.0,7.7,10,6.5,,,6.0,,6.7,3.3,5.3,6.1,4.58,151,,
CRI,Costa Rica,5.4,21.6,8.6,5.8,10,9.5,9,25,4,44,6.5,7.6,6.4,4.8,6.0,10.0,5.0,3.5,8.5,6.4,4.9,6.2,9.4,2.8,8.6,3.43,9.1,4.50,10,9.3,9.0,1.5,8.9,5.6,6.2,9.4,8.0,4.7,8.2,6.5,10.0,7.1,7.7,9.4,8.1,8.1,5,7.5,10,7.5,2.2,5.4,6.7,8.0,5.7,10,6.3,3.9,4.6,9.1,5.5,8.7,7.5,6.5,6.8,7.60,23,,
CIV,Cote d'Ivoire,8.8,10.1,9.6,1.8,4,37.2,5,39,1,57,3.0,6.4,2.4,3.8,4.0,3.3,4.2,3.5,5.7,3.9,3.7,3.8,8.3,8.4,8.7,3.21,9.7,1.31,0,6.7,5.1,7.4,7.6,11.9,7.3,6.8,6.7,4.9,5.9,5.4,10.0,7.0,0.8,2.4,3.4,6.4,8,7.1,,7.6,6.7,5.9,7.0,6.0,7.6,1,5.7,4.6,7.0,8.7,3.9,4.8,7.0,6.0,6.4,5.93,134,,
HRV,Croatia,4.5,24.7,4.9,19.4,10,9.0,4,40-47,0,58-63,2.0,5.3,3.3,2.5,4.7,8.3,7.5,5.3,6.4,5.9,7.2,5.7,9.7,-1.3,9.2,2.07,9.3,3.42,10,9.6,9.6,0.6,9.0,5.0,7.5,6.2,8.7,5.7,7.7,6.7,10.0,4.3,4.6,6.8,5.2,7.7,10,8.2,10,9.4,2.2,3.3,7.2,6.0,7.5,10,6.0,2.1,4.6,9.6,4.2,4.6,7.8,5.5,7.0,7.04,70,,
CYP,Cyprus,5.0,23.1,5.9,15.7,10,3.1,7,35,6,38,6.5,6.8,5.8,5.5,6.2,8.3,8.3,4.0,6.1,6.3,7.5,6.4,9.4,3.2,9.2,2.00,9.5,2.39,10,9.5,9.6,0.6,8.9,5.5,6.1,9.7,8.2,6.6,9.3,7.9,10.0,6.2,0.8,6.6,4.5,7.7,10,3.5,10,7.8,6.7,5.1,5.6,10.0,10.0,0,6.2,5.2,3.7,9.6,6.3,4.9,8.4,6.3,6.8,7.45,34,,
CZE,Czech Rep.,3.3,28.9,2.7,27.3,10,13.9,10,15,4,45,7.0,5.7,4.6,3.1,4.8,10.0,8.3,3.9,8.2,4.8,6.7,6.1,9.1,4.5,9.3,1.71,9.3,3.30,10,9.4,9.6,0.6,8.9,5.5,6.1,9.7,8.2,5.6,7.7,6.6,10.0,7.2,6.9,6.6,6.9,7.9,10,8.8,10,9.6,10.0,3.8,7.0,10.0,7.8,10,8.1,2.7,2.6,9.2,4.2,8.9,5.4,5.5,7.7,7.38,42,,
DNK,Denmark,1.0,36.7,4.3,21.3,10,14.7,3,55,3,55,3.0,4.6,8.6,5.7,7.4,10.0,10.0,6.0,9.7,8.5,5.9,8.0,9.6,1.9,9.3,1.77,9.5,2.41,10,9.6,9.6,0.6,8.9,5.5,6.1,9.7,8.2,6.1,9.3,7.7,10.0,6.5,7.7,6.5,6.9,8.2,10,8.4,10,9.5,10.0,6.7,6.4,8.0,10.0,3,7.4,3.6,1.9,9.7,8.1,9.7,8.5,6.9,7.9,7.66,19,,
DOM,Dominican Rep.,9.2,8.7,9.4,2.6,6,25.1,9,25,7,33,8.0,8.2,2.3,3.6,4.7,5.0,4.2,4.5,7.6,2.2,3.7,4.2,9.4,2.9,9.0,2.52,9.3,3.69,10,9.4,8.8,1.8,8.5,7.3,6.4,8.9,7.9,4.5,8.9,6.7,10.0,6.3,5.0,6.5,5.9,7.6,5,2.4,10,5.8,5.6,5.0,7.1,8.0,2.8,10,6.4,4.2,6.6,9.1,3.4,7.3,6.4,6.1,6.1,7.11,66,,
ECU,Ecuador,6.5,18.0,9.6,2.0,0,51.8,7,35,4,47,5.5,5.4,3.6,3.7,4.6,2.5,4.2,4.4,8.6,4.4,4.2,4.5,8.7,6.6,8.7,3.31,9.0,5.10,0,6.6,6.5,5.2,8.0,10.1,5.3,11.8,6.6,4.7,6.9,5.8,10.0,4.7,3.8,10.0,6.2,7.1,8,9.8,10,9.3,5.6,4.4,5.6,8.0,0.6,3,4.5,4.2,5.7,7.9,4.2,8.9,2.7,5.6,6.5,6.01,131,,
EGY,Egypt,8.1,12.3,6.7,12.6,4,30.7,10,25,8,39,9.0,7.0,4.1,3.7,4.5,1.7,5.0,3.4,8.6,3.2,2.2,4.0,8.7,6.7,9.6,0.90,8.6,7.12,10,9.2,8.6,2.2,6.6,16.8,0.0,142.6,5.1,4.4,8.2,6.3,10.0,4.4,4.6,0.8,3.3,6.2,2,1.8,8,3.9,10.0,3.8,7.2,8.0,0.6,0,4.9,3.7,5.9,9.6,3.8,7.8,5.6,6.1,5.0,6.27,122,,
SLV,El Salvador,8.6,10.8,9.1,3.8,8,18.0,8,30,8,30,8.0,8.4,3.4,3.1,4.2,4.2,3.3,3.8,8.2,3.5,2.3,4.0,8.9,5.7,8.7,3.14,9.7,1.73,10,9.3,9.2,1.2,8.8,6.0,6.6,8.6,8.2,4.2,8.5,6.3,10.0,4.6,4.6,3.4,4.2,7.2,8,9.1,10,9.0,6.7,4.4,5.7,6.0,2.6,10,5.9,4.0,5.5,9.0,3.3,8.3,6.4,6.1,7.0,7.19,60,,
EST,Estonia,3.7,27.3,6.4,13.7,7,21.5,9,21,4,44,6.5,5.9,7.5,5.4,6.9,8.3,6.7,5.9,9.5,7.2,7.7,7.2,7.2,13.9,8.9,2.67,9.2,3.93,10,8.8,9.6,0.6,8.9,5.5,6.1,9.7,8.2,6.7,9.3,8.0,10.0,7.5,6.2,6.6,6.8,8.2,10,10.0,10,10.0,6.7,6.1,8.4,4.0,9.3,3,6.2,5.6,3.3,9.7,7.3,8.5,9.1,7.2,7.8,7.61,22,,
ETH,Ethiopia,9.3,8.4,9.1,3.8,4,36.7,7,35,,,7.0,7.3,3.1,3.7,4.5,1.7,7.5,5.5,8.5,4.9,7.3,5.2,8.2,9.2,5.4,11.52,5.4,22.77,0,4.7,3.8,9.2,6.5,17.3,5.3,11.8,5.2,4.4,3.7,4.1,10.0,4.5,0.0,0.2,1.6,5.2,2,9.4,0,3.8,6.7,4.3,6.1,10.0,7.0,10,7.4,4.0,6.1,7.9,3.5,8.5,6.6,6.1,5.7,5.65,139,,
FJI,Fiji,7.5,14.3,8.7,5.3,8,18.0,5,49,5,49,5.0,7.3,,4.1,,6.2,,5.1,8.0,,,5.9,8.1,9.7,8.3,4.20,9.3,3.42,0,6.4,7.7,3.4,6.6,16.9,0.0,73.3,4.8,,7.3,7.3,10.0,,0.0,9.2,4.6,6.7,10,9.4,10,9.8,7.8,,,10.0,8.3,10,9.0,,,7.9,,8.5,7.9,8.1,9.0,7.05,69,,
FIN,Finland,2.7,30.8,3.5,24.2,10,13.3,4,46-52,3,51-57,3.5,4.9,9.3,8.3,9.0,10.0,10.0,6.8,8.4,9.5,8.8,8.9,8.8,6.0,9.5,1.25,9.4,2.81,10,9.4,9.6,0.6,8.9,5.5,6.1,9.7,8.2,7.4,9.0,8.2,10.0,6.9,7.7,6.6,7.1,8.4,10,9.4,10,9.8,3.9,4.5,2.9,8.0,10.0,3,5.4,6.6,1.5,9.5,9.1,9.8,9.0,7.6,7.6,7.84,10,,
